timestamp,employee,door
1677048144,168854,3-14
1677048147,168777,6-1
1677048151,168852,1-20
1677048157,168789,4-0
1677048159,168809,0-0
1677048161,168777,6-9
1677048167,168847,0-0
1677048173,168822,0-0
1677048179,168789,1-0
1677048184,168879,3-5
1677048186,168881,2-4
1677048191,168775,3-2
1677048194,168822,3-0
1677048197,168808,0-0
1677048201,168890,3-4
1677048206,168823,2-0
1677048207,168876,6-25
1677048211,168850,5-15
1677048215,168773,6-21
1677048217,168868,2-19
1677048221,168862,4-9
1677048226,168843,2-18
1677048227,168847,3-0
1677048229,168812,1-0
1677048234,168795,0-0
1677048235,168860,1-7
1677048237,168844,6-0
1677048241,168860,1-12
1677048247,168785,5-23
1677048248,168882,1-0
1677048253,168813,0-0
1677048259,168863,1-0
1677048260,168800,5-5
1677048262,168781,6-0
1677048264,168870,5-0
1677048265,168857,0-0
1677048266,168800,5-11
1677048272,168839,3-0
1677048273,168805,3-21
1677048278,168843,2-15
1677048280,168779,3-8
1677048283,168880,5-0
1677048286,168833,1-0
1677048292,168879,3-0
1677048293,,
1677048294,168810,4-0
1677048297,168815,3-0
1677048298,168782,6-0
1677048299,168842,0-0
1677048300,168798,0-0
1677048302,168789,1-3
1677048306,168890,3-1
1677048311,168834,5-0
1677048315,168801,5-0
1677048317,168852,1-8
1677048323,168773,6-19
1677048328,168780,4-0
1677048334,168781,6-25
1677048338,168806,6-25
1677048341,168816,0-0
1677048342,168850,5-16
1677048347,168860,1-17
1677048353,168837,5-3
1677048356,168897,0-0
1677048361,168856,1-17
1677048365,168840,1-0
1677048368,168866,6-6
1677048370,168860,1-5
1677048371,168801,5-13
1677048374,168854,3-21
1677048376,168780,1-0
1677048380,168792,4-18
1677048382,168820,5-15
1677048387,168825,3-0
1677048393,168857,6-0
1677048398,168785,5-9
1677048400,168852,1-23
1677048401,168824,3-0
1677048405,168889,4-0
1677048410,168880,5-8
1677048412,168779,3-10
1677048418,168809,5-0
1677048424,168799,0-0
1677048429,168841,5-0
1677048435,168869,5-15
1677048441,168838,1-0
1677048447,168818,1-7
1677048450,168859,4-13
1677048454,168858,1-14
1677048457,168838,1-23
1677048460,168895,4-15
1677048464,168834,5-24
1677048467,168873,3-2
1677048473,168862,4-9
1677048478,168822,3-8
1677048483,168866,6-6
1677048487,168820,5-11
1677048490,168869,5-7
1677048493,168858,6-0
1677048499,168892,6-0
1677048504,168899,5-4
1677048508,168800,5-23
1677048509,168798,6-0
1677048511,168809,5-5
1677048512,168794,6-1
1677048513,168812,1-19
1677048518,168861,0-0
1677048520,168859,4-11
1677048522,168808,6-0
1677048525,168841,2-0
1677048527,168828,1-5
1677048528,168803,6-11
1677048529,168882,1-18
1677048534,168813,5-0
1677048538,168874,5-4
1677048544,168882,1-10
1677048547,168867,4-0
1677048548,168800,5-12
1677048554,168829,6-19
1677048560,168867,4-21
1677048564,168795,6-0
1677048567,168811,3-0
1677048568,168820,3-0
1677048574,168836,3-0
1677048575,168877,4-0
1677048580,168796,4-25
1677048583,168774,0-0
1677048588,168882,1-16
1677048589,168880,5-18
1677048592,168821,3-21
1677048593,168859,4-16
1677048601,168869,2-0
1677048604,168795,6-16
1677048610,168777,6-12
1677048614,168863,1-24
1677048617,168853,2-12
1677048622,168837,4-0
1677048623,168863,1-5
1677048627,168796,4-15
1677048633,168831,4-17
1677048639,168791,4-0
1677048645,168774,4-0
1677048651,168877,4-16
1677048653,168847,3-16
1677048658,168818,3-0
1677048662,168879,3-1
1677048668,168823,2-2
1677048669,168788,3-4
1677048671,168830,0-0
1677048673,168824,3-17
1677048678,168818,3-23
1677048679,168868,2-14
1677048685,168859,4-15
1677048689,168798,6-24
1677048690,168804,0-0
1677048696,168890,3-22
1677048697,168875,0-0
1677048701,168804,6-0
1677048707,168856,1-16
1677048713,168889,4-6
1677048716,168790,1-15
1677048722,168803,6-18
1677048727,168847,3-7
1677048730,168856,1-5
1677048736,168873,3-19
1677048740,168877,4-21
1677048741,168798,6-13
1677048742,168862,3-0
1677048747,168774,4-23
1677048751,168834,5-12
1677048756,168801,5-14
1677048761,168869,2-7
1677048762,168873,1-0
1677048768,168871,1-0
1677048769,168825,6-0
1677048771,168877,4-0
1677048776,168815,3-13
1677048779,168778,6-0
1677048781,168876,6-1
1677048787,168873,3-0
1677048792,168814,0-0
1677048797,168862,3-9
1677048802,168808,6-18
1677048803,168798,6-13
1677048805,168843,2-18
1677048806,168898,5-18
1677048812,168779,6-0
1677048815,168866,6-4
1677048818,168855,5-14
1677048822,168825,6-23
1677048827,168796,4-13
1677048829,168804,6-4
1677048835,168897,1-0
1677048839,168797,0-0
1677048843,168895,4-19
1677048849,168774,3-0
1677048853,168774,3-10
1677048857,168857,6-1
1677048859,168774,3-16
1677048864,168879,3-16
1677048869,168785,5-10
1677048872,168832,4-0
1677048876,168851,1-3
1677048881,168832,4-17
1677048886,168806,6-22
1677048889,168792,4-16
1677048894,168893,3-21
1677048897,168808,6-18
1677048898,168813,5-17
1677048902,168788,3-3
1677048904,168867,4-3
1677048912,168890,3-24
1677048916,168793,5-17
1677048919,168849,4-8
1677048925,168843,2-7
1677048931,168827,0-0
1677048937,168854,1-0
1677048939,168852,1-22
1677048941,168861,2-0
1677048945,168866,6-8
1677048950,168875,1-0
1677048956,168858,6-9
1677048957,168819,1-0
1677048959,168895,4-20
1677048965,168791,2-0
1677048970,168898,5-1
1677048971,168785,5-24
1677048975,168866,6-0
1677048981,168822,3-12
1677048987,168898,5-0
1677048991,168785,5-11
1677048996,168866,6-15
1677049001,168799,2-0
1677049005,168781,6-3
1677049006,168819,3-0
1677049012,168824,2-0
1677049013,168836,3-13
1677049016,168869,2-0
1677049017,168832,4-14
1677049022,168857,6-11
1677049024,168882,1-18
1677049029,168805,3-22
1677049034,168820,3-2
1677049038,168819,3-6
1677049040,168804,6-2
1677049044,168804,6-18
1677049046,168822,3-6
1677049051,168781,6-17
1677049056,168899,5-10
1677049058,168815,3-7
1677049061,168863,1-18
1677049066,168890,3-18
1677049070,168796,4-14
1677049074,168793,5-4
1677049081,168777,6-18
1677049085,168809,5-17
1677049088,168809,3-0
1677049091,168822,3-12
1677049097,168862,6-0
1677049098,168804,6-10
1677049102,168794,6-25
1677049104,168877,4-18
1677049106,168862,1-0
1677049111,168897,1-16
1677049116,168848,0-0
1677049117,168849,4-14
1677049123,168866,6-16
1677049125,168815,3-2
1677049126,168817,2-10
1677049131,168794,6-13
1677049140,168857,6-24
1677049144,168825,6-19
1677049146,168878,2-0
1677049151,168782,6-0
1677049155,168845,0-0
1677049156,168828,1-20
1677049159,168773,6-12
1677049164,168812,1-4
1677049169,168793,5-3
1677049171,168794,6-14
1677049172,168833,1-4
1677049176,168827,6-0
1677049180,168847,3-20
1677049186,168890,3-23
1677049187,168795,0-0
1677049190,168784,5-0
1677049196,168792,4-5
1677049199,168845,6-0
1677049204,168879,3-0
1677049206,168783,1-18
1677049212,168785,5-22
1677049214,168780,1-6
1677049216,168814,5-0
1677049222,168878,2-19
1677049225,168828,1-17
1677049230,168787,3-9
1677049236,168837,4-12
1677049238,168800,5-18
1677049239,168877,4-2
1677049241,168826,0-0
1677049247,168898,0-0
1677049250,168846,2-0
1677049252,168851,1-4
1677049258,168790,1-17
1677049261,168825,6-17
1677049264,168833,1-14
1677049266,168868,5-0
1677049269,168799,2-22
1677049270,168841,2-2
1677049275,168788,3-18
1677049277,168883,5-0
1677049279,168808,6-9
1677049283,168826,6-0
1677049286,168780,2-0
1677049291,168858,6-8
1677049294,168791,2-1
1677049300,168865,2-0
1677049303,168849,4-15
1677049307,168815,4-0
1677049309,168874,6-0
1677049310,168800,5-13
1677049312,168893,3-13
1677049318,168868,5-19
1677049321,168821,3-18
1677049326,168817,2-5
1677049331,168865,2-24
1677049334,168877,4-23
1677049339,168834,5-24
1677049341,168819,3-12
1677049346,168880,5-20
1677049347,168781,6-13
1677049355,168789,1-17
1677049356,168814,5-7
1677049360,168854,1-15
1677049361,168793,5-16
1677049364,168873,4-0
1677049368,168876,6-13
1677049374,168881,2-0
1677049379,168820,3-22
1677049380,168794,6-10
1677049381,168843,2-10
1677049382,168872,1-0
1677049388,168788,2-0
1677049392,168889,4-2
1677049397,168897,5-0
1677049399,168849,4-10
1677049400,168877,4-9
1677049402,168892,6-4
1677049405,168870,5-20
1677049409,168845,6-25
1677049413,168826,6-18
1677049419,168811,3-9
1677049420,168847,1-0
1677049423,168869,2-1
1677049428,168816,4-0
1677049433,168891,2-0
1677049435,168796,0-0
1677049442,168898,6-0
1677049445,168848,6-0
1677049447,168841,2-3
1677049453,168849,4-24
1677049461,168811,3-24
1677049462,168864,1-0
1677049468,168793,5-6
1677049470,168893,3-12
1677049476,168802,6-0
1677049479,168869,2-1
1677049480,168875,3-0
1677049486,168819,3-15
1677049492,168873,0-0
1677049493,168781,6-4
1677049496,168800,5-11
1677049498,168873,2-0
1677049502,168873,2-0
1677049508,168798,6-20
1677049510,168791,2-5
1677049512,168880,5-0
1677049518,168790,1-11
1677049523,168844,1-0
1677049529,168849,4-12
1677049533,168803,3-0
1677049537,168860,1-24
1677049541,168784,5-11
1677049544,168856,1-23
1677049550,168814,5-16
1677049551,168828,1-3
1677049552,168793,5-22
1677049554,168817,2-25
1677049557,168843,2-22
1677049562,168869,2-25
1677049567,168804,6-1
1677049573,168795,5-0
1677049578,168787,1-0
1677049579,168891,5-0
1677049582,168851,0-0
1677049583,168858,6-21
1677049587,168865,2-19
1677049588,168890,3-22
1677049594,168883,5-15
1677049598,168839,3-2
1677049599,168794,6-14
1677049605,168879,3-13
1677049606,168859,4-12
1677049610,168825,6-21
1677049614,168898,6-6
1677049618,168871,1-18
1677049623,168868,5-9
1677049630,168838,1-14
1677049636,168855,5-10
1677049637,168861,2-21
1677049641,168843,2-4
1677049643,168814,5-15
1677049646,168824,5-0
1677049647,168835,4-0
1677049650,168870,5-0
1677049656,168836,3-16
1677049658,168808,6-24
1677049659,168823,2-17
1677049660,168822,3-7
1677049662,168852,1-3
1677049666,168794,6-13
1677049670,168858,6-3
1677049671,168774,1-0
1677049676,168805,3-19
1677049679,168876,6-12
1677049683,168774,1-20
1677049688,168894,1-0
1677049690,168783,3-0
1677049694,168832,4-21
1677049698,168805,3-14
1677049704,168836,3-19
1677049709,168848,6-14
1677049711,168779,0-0
1677049713,168804,6-3
1677049716,168809,3-10
1677049717,168893,3-6
1677049718,168775,0-0
1677049721,168846,2-3
1677049731,168897,5-24
1677049732,168808,6-10
1677049738,168845,6-19
1677049741,168897,5-23
1677049744,168834,5-14
1677049745,168845,6-5
1677049750,168868,5-3
1677049753,168878,2-4
1677049756,168842,5-0
1677049760,168839,3-21
1677049766,168855,5-13
1677049768,168795,5-6
1677049773,168845,6-6
1677049777,168775,1-0
1677049781,168777,6-19
1677049787,168802,6-24
1677049789,168863,1-11
1677049791,168840,6-0
1677049797,168787,1-2
1677049803,168873,2-12
1677049808,168812,1-14
1677049809,168895,0-0
1677049814,168821,3-4
1677049820,168795,3-0
1677049822,168857,6-14
1677049825,168817,2-19
1677049828,168839,3-0
1677049829,168878,2-20
1677049832,168774,1-11
1677049838,168828,1-8
1677049844,168871,1-8
1677049846,168878,2-14
1677049847,168825,6-17
1677049853,168867,4-23
1677049854,168833,1-15
1677049859,168820,2-0
1677049861,168840,6-23
1677049862,168872,6-0
1677049871,168825,6-23
1677049877,168837,4-7
1677049881,168895,3-0
1677049883,168848,6-17
1677049887,168897,5-18
1677049891,168792,4-25
1677049895,168823,2-5
1677049900,168879,3-21
1677049906,168833,1-22
1677049912,168872,6-3
1677049914,168816,4-17
1677049915,168881,2-1
1677049919,168790,1-12
1677049923,168793,5-21
1677049925,168860,1-9
1677049929,168824,5-0
1677049934,168841,2-6
1677049936,168795,3-2
1677049942,168866,6-8
1677049944,168826,6-16
1677049949,168814,5-14
1677049955,168873,2-24
1677049956,168829,6-14
1677049958,168850,5-7
1677049960,168821,3-5
1677049962,168855,5-2
1677049963,168806,0-0
1677049968,168783,3-15
1677049973,168893,2-0
1677049975,168799,2-9
1677049979,168870,5-15
1677049985,168788,2-3
1677049986,168798,6-22
1677049991,168793,2-0
1677049992,168797,1-0
1677049995,168796,6-0
1677049999,168801,5-20
1677050001,168876,6-9
1677050006,168899,5-21
1677050007,168806,4-0
1677050009,168854,6-0
1677050012,168813,6-0
1677050016,168819,3-24
1677050021,168775,1-22
1677050025,168775,1-0
1677050026,168790,6-0
1677050032,168862,5-0
1677050036,168831,4-12
1677050038,168798,6-6
1677050039,168866,6-0
1677050043,168875,3-20
1677050046,168795,3-7
1677050047,168820,2-13
1677050052,168808,6-5
1677050053,168773,0-0
1677050055,168860,1-2
1677050056,168775,1-2
1677050060,168812,1-7
1677050062,168822,3-24
1677050068,168838,1-5
1677050072,168891,5-15
1677050073,168801,5-18
1677050075,168868,5-19
1677050082,168871,1-19
1677050083,168795,3-13
1677050085,168830,6-0
1677050096,168872,6-6
1677050101,168894,1-10
1677050106,168794,6-16
1677050109,168879,3-22
1677050110,168862,5-10
1677050111,168790,6-15
1677050115,168800,5-24
1677050120,168814,3-0
1677050123,168812,1-15
1677050126,168806,4-16
1677050127,168880,5-11
1677050130,168841,3-0
1677050136,168846,2-16
1677050138,168891,5-17
1677050139,168853,2-14
1677050142,168823,2-11
1677050144,168899,5-1
1677050149,168836,3-11
1677050150,168805,3-9
1677050153,168851,1-0
1677050154,168866,1-0
1677050155,168806,4-5
1677050161,168825,6-16
1677050167,168785,5-2
1677050170,168890,3-9
1677050171,168873,2-14
1677050177,168895,3-1
1677050182,168839,3-20
1677050192,168852,1-6
1677050196,168832,0-0
1677050199,168878,2-23
1677050201,168872,6-22
1677050205,168862,5-22
1677050208,168864,1-8
1677050214,168843,2-13
1677050217,168850,5-4
1677050222,168899,5-18
1677050226,168793,2-15
1677050232,168797,1-23
1677050234,168810,4-17
1677050238,168826,6-15
1677050244,168851,3-0
1677050245,168787,5-0
1677050250,168778,6-10
1677050253,168881,1-0
1677050257,168861,2-13
1677050261,168853,5-0
1677050264,168897,5-25
1677050270,168895,3-17
1677050272,168889,5-0
1677050276,168859,4-6
1677050281,168847,1-15
1677050282,168833,1-13
1677050285,168894,1-20
1677050290,168816,4-6
1677050296,168878,6-0
1677050298,168837,1-0
1677050302,168891,5-16
1677050303,168798,6-11
1677050307,168809,0-0
1677050311,168876,6-4
1677050315,168835,4-9
1677050316,168893,2-10
1677050319,168833,4-0
1677050322,168775,1-4
1677050327,168852,1-4
1677050331,168873,2-14
1677050337,168860,1-8
1677050340,168851,3-11
1677050342,168882,1-1
1677050346,168796,6-14
1677050352,168859,4-8
1677050353,168866,1-24
1677050356,168828,1-14
1677050359,168840,6-11
1677050365,168891,5-8
1677050367,168816,4-6
1677050368,168855,5-5
1677050374,168855,5-10
1677050380,168855,5-5
1677050385,168813,2-0
1677050390,168782,6-11
1677050394,168798,6-21
1677050396,168850,5-11
1677050397,168806,4-12
1677050402,168793,5-0
1677050406,168834,4-0
1677050407,168871,1-16
1677050412,168881,1-1
1677050415,168821,3-11
1677050421,168873,2-18
1677050426,168865,2-20
1677050428,168899,5-12
1677050433,168825,6-9
1677050438,168821,3-8
1677050441,168858,6-11
1677050443,168792,4-2
1677050447,168792,4-2
1677050449,168781,6-16
1677050453,168860,1-2
1677050455,168775,1-7
1677050460,168879,3-7
1677050466,168890,3-24
1677050472,168816,4-20
1677050476,168788,2-2
1677050481,168840,6-20
1677050482,168850,5-21
1677050483,168785,6-0
1677050489,168816,4-12
1677050493,168793,2-0
1677050495,168890,3-9
1677050496,168844,1-3
1677050502,168878,6-19
1677050508,168828,3-0
1677050513,168861,2-10
1677050514,168872,4-0
1677050516,168806,2-0
1677050519,168832,2-0
1677050522,168781,6-4
1677050525,168853,5-21
1677050529,168863,1-14
1677050535,168873,2-13
1677050539,168803,6-0
1677050542,168858,4-0
1677050548,168849,4-3
1677050552,168792,4-22
1677050554,168799,2-21
1677050559,168800,5-15
1677050564,168791,0-0
1677050567,168785,6-16
1677050573,168804,6-21
1677050579,168891,5-13
1677050584,168825,3-0
1677050585,168837,1-7
1677050590,168819,3-22
1677050592,168820,2-25
1677050597,168823,2-0
1677050606,168867,4-1
1677050612,168831,4-23
1677050615,168848,6-11
1677050616,168897,5-16
1677050621,168864,1-12
1677050626,168815,0-0
1677050630,168894,1-9
1677050634,168894,1-24
1677050636,168860,1-4
1677050642,168882,1-22
1677050644,168892,6-16
1677050649,168809,1-0
1677050658,168787,5-16
1677050661,168825,3-8
1677050663,168803,6-13
1677050667,168835,4-0
1677050669,168864,1-7
1677050671,168871,1-10
1677050677,168882,1-20
1677050678,168849,4-3
1677050681,168844,1-14
1677050685,168839,3-18
1677050691,168779,3-0
1677050694,168773,3-0
1677050697,168819,3-0
1677050711,168777,6-10
1677050712,168876,6-0
1677050713,168850,5-7
1677050717,168787,5-11
1677050721,168878,6-1
1677050725,168780,3-0
1677050728,168812,2-0
1677050730,168847,1-0
1677050735,168787,5-11
1677050740,168846,2-20
1677050745,168864,1-15
1677050748,168787,5-10
1677050752,168783,3-6
1677050756,168880,5-8
1677050761,168817,2-16
1677050767,168857,0-0
1677050769,168860,1-19
1677050773,168817,2-0
1677050774,168876,2-0
1677050780,168779,3-17
1677050781,168795,3-6
1677050782,168874,1-0
1677050785,168802,6-5
1677050787,168895,3-9
1677050790,168867,4-0
1677050796,168781,6-13
1677050798,168880,5-19
1677050801,168898,6-21
1677050802,168824,5-23
1677050807,168785,6-8
1677050808,168789,0-0
1677050813,168782,6-12
1677050817,168809,1-18
1677050822,168777,6-2
1677050826,168898,6-1
1677050827,168796,6-13
1677050829,168833,4-17
1677050835,168826,3-0
1677050837,168773,3-11
1677050841,168854,6-14
1677050847,168890,3-10
1677050848,168880,1-0
1677050849,168869,2-20
1677050851,168853,5-0
1677050855,168790,0-0
1677050856,168858,4-19
1677050862,168814,3-19
1677050867,168883,6-0
1677050872,168843,6-0
1677050877,168855,5-19
1677050879,168817,2-6
1677050883,168810,4-0
1677050889,168804,1-0
1677050895,168858,4-21
1677050896,168856,4-0
1677050898,168811,3-12
1677050903,168774,0-0
1677050909,168874,1-7
1677050912,168881,0-0
1677050915,168878,6-1
1677050919,168826,3-10
1677050925,168840,6-0
1677050930,168794,6-16
1677050936,168816,4-24
1677050939,168875,3-8
1677050945,168870,5-20
1677050950,168779,3-11
1677050955,168801,5-19
1677050956,168823,2-18
1677050962,168830,6-16
1677050966,168899,5-0
1677050968,168854,4-0
1677050974,168869,2-24
1677050975,168892,0-0
1677050983,168874,1-25
1677050986,168853,5-8
1677050990,168867,4-1
1677050992,168813,2-9
1677050994,168844,1-9
1677050995,168864,4-0
1677051001,168780,3-2
1677051002,168815,2-0
1677051008,168788,2-8
1677051013,168845,2-0
1677051018,168875,5-0
1677051024,168844,1-21
1677051027,168797,1-6
1677051030,168870,6-0
1677051035,168870,6-16
1677051037,168810,4-6
1677051040,168818,3-22
1677051044,168865,2-1
1677051047,168775,1-2
1677051052,168824,5-15
1677051055,168797,1-13
1677051060,168862,5-21
1677051068,168799,1-0
1677051072,168822,3-0
1677051074,168876,2-22
1677051075,168895,3-20
1677051076,168828,0-0
1677051082,168898,6-10
1677051084,168792,4-17
1677051090,168798,6-18
1677051096,168834,4-9
1677051102,168860,1-2
1677051108,168882,1-20
1677051114,168800,0-0
1677051120,168843,6-3
1677051121,168784,5-25
1677051124,168840,6-8
1677051129,168810,4-12
1677051135,168876,2-6
1677051139,168881,6-0
1677051141,168825,3-2
1677051145,168800,4-0
1677051147,168849,4-15
1677051153,168861,2-18
1677051159,168865,2-20
1677051164,168812,2-20
1677051168,168802,6-9
1677051173,168839,3-24
1677051179,168845,1-0
1677051184,168869,2-20
1677051187,168867,4-1
1677051189,168869,2-7
1677051192,168871,1-22
1677051194,168801,5-24
1677051195,168813,2-8
1677051198,168829,6-8
1677051199,168793,2-3
1677051205,168894,1-10
1677051209,168822,3-12
1677051215,168805,3-17
1677051216,168839,3-13
1677051217,168865,2-25
1677051221,168846,5-0
1677051226,168773,3-11
1677051231,168872,0-0
1677051232,168784,5-21
1677051235,168867,4-9
1677051238,168846,4-0
1677051244,168789,4-0
1677051245,168839,3-5
1677051250,168890,3-22
1677051254,168841,3-21
1677051258,168850,5-8
1677051259,168874,1-23
1677051263,168875,3-0
1677051264,168842,5-22
1677051269,168892,6-0
1677051271,168868,5-14
1677051273,168789,4-5
1677051274,168814,3-22
1677051279,168846,2-0
1677051286,168793,2-3
1677051290,168829,6-6
1677051292,168840,6-17
1677051293,168793,1-0
1677051301,168796,6-10
1677051302,168805,3-22
1677051303,168778,6-7
1677051309,168783,3-7
1677051310,168838,1-13
1677051316,168853,5-6
1677051319,168875,3-23
1677051321,168860,1-4
1677051324,168782,6-22
1677051325,168871,1-19
1677051327,168820,2-24
1677051332,168820,2-13
1677051334,168840,6-19
1677051339,168816,0-0
1677051353,168859,4-7
1677051359,168809,1-20
1677051365,168877,4-18
1677051369,168849,4-20
1677051374,168897,5-5
1677051380,168791,6-0
1677051384,168843,6-6
1677051388,168775,3-0
1677051396,168825,0-0
1677051400,168816,5-0
1677051406,168852,0-0
1677051412,168882,1-14
1677051418,168834,4-7
1677051420,168854,4-20
1677051426,168788,2-8
1677051432,168817,2-9
1677051438,168851,0-0
1677051441,168834,4-3
1677051443,168857,1-0
1677051448,168811,5-0
1677051455,168795,3-16
1677051461,168837,1-11
1677051466,168847,1-1
1677051467,168854,4-1
1677051471,168854,4-24
1677051473,168841,3-11
1677051475,168844,1-12
1677051478,168835,4-11
1677051488,168894,1-16
1677051493,168878,0-0
1677051497,168792,5-0
1677051501,168891,5-11
1677051505,168842,5-14
1677051506,168876,2-18
1677051511,168870,6-22
1677051517,168819,3-10
1677051520,168817,2-7
1677051526,168899,5-14
1677051532,168870,6-1
1677051537,168814,3-25
1677051540,168785,6-19
1677051542,168780,3-24
1677051547,168868,5-11
1677051552,168790,6-0
1677051554,168848,0-0
1677051556,168878,2-0
1677051559,168880,1-5
1677051561,168841,1-0
1677051571,168835,4-8
1677051577,168774,1-0
1677051583,168862,5-13
1677051588,168844,1-16
1677051594,168775,3-1
1677051597,168850,5-2
1677051599,168883,6-21
1677051608,168891,2-0
1677051609,168834,4-20
1677051612,168892,0-0
1677051615,168775,3-22
1677051617,168883,6-14
1677051619,168826,3-3
1677051624,168841,1-25
1677051629,168862,5-3
1677051635,168875,3-13
1677051638,168798,6-12
1677051642,168849,4-10
1677051646,168864,4-5
